ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc,date_stamp
DZGH,DA ZHONG TRADING GRP,otc,us,OTC Link,CS,True,USD,,BBG000BCQMR4,BBG001SB29H2,2023-12-02T09:45:13.883Z,2025-11-06
DZHGF,DAZHONG TRANS GRP CO B,otc,us,OTC Link,OS,True,USD,,,,2024-04-26T06:46:05.988Z,2025-11-06
DZSIQ,DZS INC,otc,us,OTC Link,CS,True,USD,,BBG000BHDXR3,BBG001S80PR4,2025-07-03T06:55:27.537Z,2025-11-06
EAATF,EARTHWORKS INDUS INC,otc,us,OTC Link,OS,True,USD,,BBG000C4LH88,BBG001S7FG45,2025-04-01T21:43:45.671Z,2025-11-06
EACO,EACO CORP,otc,us,OTC Link,CS,True,USD,,BBG000BSG5T5,BBG001S5VTY0,2025-04-14T21:29:10.455Z,2025-11-06
EACTF,EARTH ALIVE CLEAN TCH INC,otc,us,OTC Link,OS,True,USD,,BBG00LK8HBW5,BBG006BRR5S3,2025-02-12T07:38:00.749Z,2025-11-06
EADSF,AIRBUS SE ORD,otc,us,OTC Link,OS,True,USD,,,,2022-07-13T15:18:40.394Z,2025-11-06
EADSY,AIRBUS SE UNSP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG000H2JB56,BBG001SRXPY8,2025-04-08T05:00:55.783Z,2025-11-06
EAGRF,EAST SIDE GAMES GRP INC,otc,us,OTC Link,OS,True,USD,,BBG00TZRC3T7,BBG00NRYW7V0,2025-07-23T18:08:34.884Z,2025-11-06
EAPH,EASTON PHARMS INC,otc,us,OTC Link,CS,True,USD,,BBG000BRG367,BBG001S9SHQ1,2021-04-08T05:01:36.536Z,2025-11-06
EAPIF,EUROAPI SA,otc,us,OTC Link,OS,True,USD,,,,2022-05-16T06:44:16.375Z,2025-11-06
EARI,ENTERTAINMENT ARTS RES,otc,us,OTC Link,CS,True,USD,,BBG000K9LTV6,BBG001SPQN39,2025-08-18T06:59:26.64Z,2025-11-06
EATMF,EVOLVE AUTO IN IND ETF UT,otc,us,Grey Market,UNIT,True,USD,,BBG00HW3BB94,BBG00HTVNKJ2,2024-11-29T15:17:10.811Z,2025-11-06
EATR,EASTERN ASTERIA INC,otc,us,OTC Link,CS,True,USD,,BBG000BNM733,BBG001S924Q8,2025-09-03T06:55:24.789Z,2025-11-06
EAUI,EAU TECHNOLOGIES INC,otc,us,OTC Link,CS,True,USD,,BBG000MQ1WX9,BBG001SKGGG2,2023-10-11T21:27:52.459Z,2025-11-06
EAWD,ENERGY & WTR DEV CORP,otc,us,OTC Link,CS,True,USD,,BBG000KPTLJ3,BBG001SD2B10,2025-07-18T06:57:23.907Z,2025-11-06
EAXR,EALIXIR INC,otc,us,OTC Link,CS,True,USD,,BBG000CWD741,BBG001S73PQ4,2025-06-09T22:05:56.71Z,2025-11-06
